     DEPTH         AC        DEN         GR
   51.2500 -9999.0000 -9999.0000    63.4488
   51.3750 -9999.0000 -9999.0000    66.1582
   51.5000 -9999.0000 -9999.0000    68.8317
   51.6250 -9999.0000 -9999.0000    69.2497
   51.7500 -9999.0000 -9999.0000    69.1144
   51.8750 -9999.0000 -9999.0000    70.6480
   52.0000 -9999.0000 -9999.0000    73.4136
   52.1250 -9999.0000 -9999.0000    75.0303
   52.2500 -9999.0000 -9999.0000    74.5957
   52.3750 -9999.0000 -9999.0000    73.5369
   52.5000 -9999.0000 -9999.0000    71.7808
   52.6250 -9999.0000 -9999.0000    68.7297
   52.7500 -9999.0000 -9999.0000    65.3861
   52.8750 -9999.0000 -9999.0000    63.6073
   53.0000 -9999.0000 -9999.0000    64.5224
   53.1250 -9999.0000 -9999.0000    67.0718
   53.2500 -9999.0000 -9999.0000    70.0505
   53.3750 -9999.0000 -9999.0000    72.2112
   53.5000 -9999.0000 -9999.0000    72.9308
   53.6250 -9999.0000 -9999.0000    72.1923
   53.7500 -9999.0000 -9999.0000    70.5179
   53.8750 -9999.0000 -9999.0000    68.8597
   54.0000 -9999.0000 -9999.0000    68.1299
   54.1250 -9999.0000 -9999.0000    67.5931
   54.2500 -9999.0000 -9999.0000    66.6650
   54.3750 -9999.0000 -9999.0000    65.1357
   54.5000 -9999.0000 -9999.0000    63.4786
   54.6250 -9999.0000 -9999.0000    61.7542
   54.7500 -9999.0000 -9999.0000    61.2623
   54.8750 -9999.0000 -9999.0000    63.3635
   55.0000 -9999.0000 -9999.0000    67.0231
   55.1250 -9999.0000 -9999.0000    69.3158
   55.2500 -9999.0000 -9999.0000    69.5305
   55.3750 -9999.0000 -9999.0000    69.3880
   55.5000 -9999.0000 -9999.0000    70.5287
   55.6250 -9999.0000 -9999.0000    71.3369
   55.7500 -9999.0000 -9999.0000    70.7724
   55.8750 -9999.0000 -9999.0000    69.6251
   56.0000 -9999.0000 -9999.0000    68.7158
   56.1250 -9999.0000 -9999.0000    68.2069
   56.2500 -9999.0000 -9999.0000    66.5831
   56.3750 -9999.0000 -9999.0000    63.5209
   56.5000 -9999.0000 -9999.0000    61.2377
   56.6250 -9999.0000 -9999.0000    60.8754
   56.7500 -9999.0000 -9999.0000    61.6482
   56.8750 -9999.0000 -9999.0000    61.8582
   57.0000 -9999.0000 -9999.0000    61.8430
   57.1250 -9999.0000 -9999.0000    62.3160
   57.2500 -9999.0000 -9999.0000    62.4416
   57.3750 -9999.0000 -9999.0000    61.8580
   57.5000 -9999.0000 -9999.0000    62.0559
   57.6250 -9999.0000 -9999.0000    63.4513
   57.7500 -9999.0000 -9999.0000    63.9834
   57.8750 -9999.0000 -9999.0000    61.9775
   58.0000 -9999.0000 -9999.0000    59.2217
   58.1250 -9999.0000 -9999.0000    57.9480
   58.2500 -9999.0000 -9999.0000    59.1067
   58.3750 -9999.0000 -9999.0000    61.5040
   58.5000 -9999.0000 -9999.0000    63.7021
   58.6250 -9999.0000 -9999.0000    65.0585
   58.7500 -9999.0000 -9999.0000    65.5703
   58.8750 -9999.0000 -9999.0000    66.4861
   59.0000 -9999.0000 -9999.0000    68.6680
